iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
100	0.8775719609	0.3335616514	0.8488204527	0.4160958904	0.8850667746	0.8850667746
101	0.8769280434	0.3333805746	0.8487866974	0.4160319878	0.8842573857	0.8842573857
102	0.8773036521	0.333120481	0.8490546399	0.4165396341	0.8846620801	0.8846620801
103	0.8773036521	0.3330688585	0.8490546399	0.4165396341	0.8846620801	0.8846620801
104	0.87696378	0.3330075741	0.8489541225	0.4163490854	0.8842573857	0.8842573857
105	0.8766774536	0.3327908048	0.8491048539	0.4166348722	0.8838526912	0.8838526912
106	0.8766685209	0.332442124	0.8490629574	0.4165554072	0.8838526912	0.8838526912
107	0.8770173903	0.3323354278	0.8492053839	0.4168256391	0.8842573857	0.8842573857
108	0.8766863864	0.3320763128	0.8491467545	0.4167143675	0.8838526912	0.8838526912
109	0.8766953195	0.3316544531	0.8491886592	0.4167938931	0.8838526912	0.8838526912
110	0.8767131861	0.3315913117	0.8492724812	0.4169530355	0.8838526912	0.8838526912
111	0.8766953195	0.3312793549	0.8491886592	0.4167938931	0.8838526912	0.8838526912
112	0.877026326	0.3311988014	0.8492472753	0.4169051708	0.8842573857	0.8842573857
113	0.877366218	0.3310828212	0.849347728	0.4170959741	0.8846620801	0.8846620801
114	0.8773572795	0.3310021686	0.8493058458	0.417016406	0.8846620801	0.8846620801
115	0.877697121	0.3306941558	0.8494062396	0.4172071728	0.8850667746	0.8850667746
116	0.8777328875	0.3304776446	0.8495737558	0.4175257732	0.8850667746	0.8850667746
117	0.8773751567	0.3301268069	0.8493896142	0.4171755725	0.8846620801	0.8846620801
118	0.8777239456	0.3300590004	0.8495318706	0.4174460775	0.8850667746	0.8850667746
119	0.8777328875	0.3298615225	0.8495737558	0.4175257732	0.8850667746	0.8850667746
120	0.8774287928	0.3297142545	0.8496410184	0.4176538021	0.8846620801	0.8846620801
121	0.877401974	0.3296484941	0.8495152977	0.4174145503	0.8846620801	0.8846620801
122	0.8774377328	0.3296069218	0.8496829336	0.4177336136	0.8846620801	0.8846620801
123	0.8774109134	0.3294076575	0.8495572005	0.4174942704	0.8846620801	0.8846620801
124	0.8776881798	0.3293432439	0.8493643709	0.4171275987	0.8850667746	0.8850667746
125	0.8777418296	0.3292333413	0.8496156452	0.4176054993	0.8850667746	0.8850667746
126	0.8777239456	0.3291250113	0.8495318706	0.4174460775	0.8850667746	0.8850667746
127	0.8774287928	0.3288819848	0.8496410184	0.4176538021	0.8846620801	0.8846620801
128	0.8773930347	0.3287752754	0.8494733991	0.4173348606	0.8846620801	0.8846620801
129	0.8774377328	0.3285486137	0.8496829336	0.4177336136	0.8846620801	0.8846620801
130	0.8774287928	0.3283777626	0.8496410184	0.4176538021	0.8846620801	0.8846620801
131	0.8774377328	0.3282513757	0.8496829336	0.4177336136	0.8846620801	0.8846620801
132	0.8777597144	0.3278433166	0.8496994363	0.417765043	0.8850667746	0.8850667746
133	0.8781263651	0.3273947997	0.8499253872	0.4181957187	0.885471469	0.885471469
134	0.8784929868	0.3272225664	0.8501512516	0.4186268885	0.8858761635	0.8858761635
